X,Y,Coef_Spearman,Coef_Pearson
capacity,capacity,1.0,1.0
capacity,SOC,-0.06708976099087778,-0.05771798720557906
capacity,maxTemp,-0.0004125501144665892,0.01956336444395696
capacity,tempIncreaseRate,0.48575460064230513,0.3659463879352805
capacity,initialVoltage,-0.5055336257530729,-0.550044523173164
capacity,voltageRange,-0.4200077869206097,-0.54147357561684
capacity,finalVoltageChange,-0.39579078880920066,-0.5508336846201844
capacity,voltageDrop2,0.8801260759471576,0.8105303485279617
capacity,voltageDrop5,0.8515645381279651,0.5356108614653069
capacity,voltageDropScore,-0.46443115080680775,-0.5212732067515176
capacity,OHS,0.46685336819648326,0.37323739165343073
SOC,capacity,-0.06708976099087778,-0.05771798720557906
SOC,SOC,0.9999999999999998,1.0
SOC,maxTemp,0.031224787334029506,0.025336892045828827
SOC,tempIncreaseRate,-0.06437219458189015,0.1459010043443855
SOC,initialVoltage,0.6728727202258896,0.6185989460356349
SOC,voltageRange,0.317971080609541,0.057857473190775714
SOC,finalVoltageChange,0.31997103825626816,0.07921931751596606
SOC,voltageDrop2,-0.08037272916712702,-0.09341278547558964
SOC,voltageDrop5,-0.1477089238953435,-0.16165268000491664
SOC,voltageDropScore,-0.035421216036433556,-0.03835488519067015
SOC,OHS,0.05618266134307064,0.15803866718814621
maxTemp,capacity,-0.0004125501144665892,0.01956336444395696
maxTemp,SOC,0.031224787334029506,0.025336892045828827
maxTemp,maxTemp,1.0,1.0
maxTemp,tempIncreaseRate,0.7374165038704472,0.6580381171742831
maxTemp,initialVoltage,0.21689821748629773,0.20948101214538917
maxTemp,voltageRange,0.6804589769150537,0.6937311358740474
maxTemp,finalVoltageChange,0.7032549543588945,0.6927346452828722
maxTemp,voltageDrop2,0.02558183316020318,0.0400572919822181
maxTemp,voltageDrop5,0.05253411334976126,0.14596826370479027
maxTemp,voltageDropScore,0.7432222332258718,0.7080176747909519
maxTemp,OHS,0.6951214166666281,0.8150427867329699
tempIncreaseRate,capacity,0.48575460064230513,0.3659463879352805
tempIncreaseRate,SOC,-0.06437219458189017,0.1459010043443855
tempIncreaseRate,maxTemp,0.7374165038704472,0.6580381171742831
tempIncreaseRate,tempIncreaseRate,1.0,1.0
tempIncreaseRate,initialVoltage,-0.08124977178341873,0.22585058858858484
tempIncreaseRate,voltageRange,0.34436566095881793,0.30533665978487934
tempIncreaseRate,finalVoltageChange,0.3607395572803708,0.2839491720425783
tempIncreaseRate,voltageDrop2,0.443857885150948,0.2795396341709809
tempIncreaseRate,voltageDrop5,0.47406680302259335,0.27138111579272056
tempIncreaseRate,voltageDropScore,0.29514885708433736,0.2619530401094977
tempIncreaseRate,OHS,0.839102858744338,0.8122333535674011
initialVoltage,capacity,-0.5055336257530728,-0.550044523173164
initialVoltage,SOC,0.6728727202258896,0.6185989460356349
initialVoltage,maxTemp,0.21689821748629773,0.20948101214538917
initialVoltage,tempIncreaseRate,-0.08124977178341873,0.22585058858858484
initialVoltage,initialVoltage,1.0,1.0
initialVoltage,voltageRange,0.5796444584049786,0.48980114252962353
initialVoltage,finalVoltageChange,0.5746913388855845,0.47780508268191224
initialVoltage,voltageDrop2,-0.44887616533406216,-0.49593178635174445
initialVoltage,voltageDrop5,-0.4836310401537403,-0.37178852986935707
initialVoltage,voltageDropScore,0.35621688723373285,0.3781207235215227
initialVoltage,OHS,-0.0015769507642655598,0.16121396624773032
voltageRange,capacity,-0.42000778692060964,-0.54147357561684
voltageRange,SOC,0.317971080609541,0.057857473190775714
voltageRange,maxTemp,0.6804589769150537,0.6937311358740474
voltageRange,tempIncreaseRate,0.34436566095881793,0.30533665978487934
voltageRange,initialVoltage,0.5796444584049786,0.48980114252962353
voltageRange,voltageRange,1.0,1.0
voltageRange,finalVoltageChange,0.9931028816661768,0.9894946285607106
voltageRange,voltageDrop2,-0.35902225891022926,-0.3682080221686762
voltageRange,voltageDrop5,-0.34940998466877715,-0.19992162430349508
voltageRange,voltageDropScore,0.8293342901005879,0.9639887053821066
voltageRange,OHS,0.38109179438428453,0.40573246563771426
finalVoltageChange,capacity,-0.39579078880920066,-0.5508336846201844
finalVoltageChange,SOC,0.3199710382562681,0.07921931751596606
finalVoltageChange,maxTemp,0.7032549543588944,0.6927346452828722
finalVoltageChange,tempIncreaseRate,0.3607395572803708,0.2839491720425783
finalVoltageChange,initialVoltage,0.5746913388855844,0.47780508268191224
finalVoltageChange,voltageRange,0.9931028816661767,0.9894946285607106
finalVoltageChange,finalVoltageChange,1.0,1.0
finalVoltageChange,voltageDrop2,-0.3432511339193438,-0.3830486811097646
finalVoltageChange,voltageDrop5,-0.33778399512821305,-0.2156480291500097
finalVoltageChange,voltageDropScore,0.8293464056602522,0.9790822298884687
finalVoltageChange,OHS,0.40881933641555257,0.3818976407444341
voltageDrop2,capacity,0.8801260759471576,0.8105303485279617
voltageDrop2,SOC,-0.08037272916712701,-0.09341278547558964
voltageDrop2,maxTemp,0.025581833160203175,0.0400572919822181
voltageDrop2,tempIncreaseRate,0.443857885150948,0.2795396341709809
voltageDrop2,initialVoltage,-0.44887616533406216,-0.49593178635174445
voltageDrop2,voltageRange,-0.35902225891022926,-0.3682080221686762
voltageDrop2,finalVoltageChange,-0.34325113391934386,-0.3830486811097646
voltageDrop2,voltageDrop2,1.0,1.0
voltageDrop2,voltageDrop5,0.8786789499601592,0.552776542770993
voltageDrop2,voltageDropScore,-0.40391641287196645,-0.3639940573840234
voltageDrop2,OHS,0.43389648192889957,0.29366255362054405
voltageDrop5,capacity,0.8515645381279651,0.5356108614653069
voltageDrop5,SOC,-0.1477089238953435,-0.16165268000491664
voltageDrop5,maxTemp,0.052534113349761255,0.14596826370479027
voltageDrop5,tempIncreaseRate,0.47406680302259335,0.27138111579272056
voltageDrop5,initialVoltage,-0.4836310401537403,-0.37178852986935707
voltageDrop5,voltageRange,-0.34940998466877715,-0.19992162430349508
voltageDrop5,finalVoltageChange,-0.33778399512821305,-0.2156480291500097
voltageDrop5,voltageDrop2,0.8786789499601593,0.552776542770993
voltageDrop5,voltageDrop5,0.9999999999999998,1.0
voltageDrop5,voltageDropScore,-0.356083887918948,-0.17426070477435518
voltageDrop5,OHS,0.45356604877841883,0.27527879630202257
voltageDropScore,capacity,-0.46443115080680775,-0.5212732067515176
voltageDropScore,SOC,-0.035421216036433556,-0.03835488519067015
voltageDropScore,maxTemp,0.7432222332258719,0.7080176747909519
voltageDropScore,tempIncreaseRate,0.2951488570843374,0.2619530401094977
voltageDropScore,initialVoltage,0.3562168872337328,0.3781207235215227
voltageDropScore,voltageRange,0.8293342901005879,0.9639887053821066
voltageDropScore,finalVoltageChange,0.8293464056602523,0.9790822298884687
voltageDropScore,voltageDrop2,-0.40391641287196645,-0.3639940573840234
voltageDropScore,voltageDrop5,-0.35608388791894807,-0.17426070477435518
voltageDropScore,voltageDropScore,1.0,0.9999999999999999
voltageDropScore,OHS,0.32781857964562716,0.3632972576150029
OHS,capacity,0.46685336819648326,0.37323739165343073
OHS,SOC,0.056182661343070636,0.15803866718814621
OHS,maxTemp,0.6951214166666281,0.8150427867329699
OHS,tempIncreaseRate,0.839102858744338,0.8122333535674011
OHS,initialVoltage,-0.00157695076426556,0.16121396624773032
OHS,voltageRange,0.3810917943842845,0.40573246563771426
OHS,finalVoltageChange,0.40881933641555257,0.3818976407444341
OHS,voltageDrop2,0.4338964819288995,0.29366255362054405
OHS,voltageDrop5,0.45356604877841883,0.27527879630202257
OHS,voltageDropScore,0.32781857964562716,0.3632972576150029
OHS,OHS,1.0,1.0
