battery,capacity,SOC,maxTemp,tempIncreaseRate,initialVoltage,voltageRange,finalVoltageChange,voltageDrop2,voltageDrop5,voltageDropScore,OHS,CHS,chemistry
1500mAh1-100S0C,1500,100,92.857,4.030000000000216,4.14215088,4.15771484,4.08966065,0.0012207000000001855,0.0012207000000001855,3,2.0,32.01302657627938,LCO
1500mAh1-20S0C,1500,20,83.961,3.5350000000002044,3.74755859,3.7866211,3.7353515600000002,0.0018310599999997734,0.0018310599999997734,3,2.0,19.80827618038805,LCO
1500mAh1-40S0C,1500,40,92.176,3.6950000000002317,3.78570557,3.79302979,3.7606811600000003,0.0018310599999997734,0.0015258799999999795,3,2.0,23.33264855718008,LCO
1500mAh1-60S0C,1500,60,93.196,3.6749999999996836,3.85894775,3.85864258,3.81591796,0.0015258799999999795,0.0012207000000001855,3,2.0,26.253905769914063,LCO
1500mAh1-80S0C,1500,80,93.127,3.4700000000002102,3.98895264,3.96606445,3.93493653,0.0018310500000002783,0.0021362300000000722,3,2.0,29.050096334322113,LCO
1500mAh2-100S0C,1500,100,93.008,2.7899999999997966,4.13787842,4.05303956,4.006347659999999,0.0036621099999996076,0.003967289999999402,3,2.0,31.72975616002533,LCO
1500mAh2-20S0C,1500,20,72.249,2.5700000000001606,3.75183105,3.7707519599999997,3.7188720699999998,0.0015258799999999795,0.0015258799999999795,3,2.0,18.58558480131662,LCO
1500mAh2-40S0C,1500,40,81.056,3.2900000000001755,3.78509521,3.80615234,3.73687744,0.0021362300000000722,0.0021362300000000722,3,2.0,22.36387016960981,LCO
1500mAh2-60S0C,1500,60,99.382,3.9299999999996715,3.87298584,3.86047364,3.82202148,0.002441409999999866,0.0027465900000001042,3,2.0,26.76252998662408,LCO
1500mAh2-80S0C,1500,80,97.468,3.9200000000002353,3.98864746,3.97766114,3.92181396,0.0012207100000001248,0.0012207100000001248,3,2.0,29.473811557935917,LCO
1500mAh3-100S0C,1500,100,102.127,2.8450000000001747,4.14550781,4.15588379,4.08935547,0.004577629999999999,0.004577629999999999,3,2.0,32.396985237265234,LCO
1500mAh3-20S0C,1500,20,81.358,2.9900000000001827,3.75427246,3.79486084,3.7313842800000003,0.0030517500000000197,0.004882809999999793,3,2.0,19.467470063287138,LCO
1500mAh3-40S0C,1500,40,95.373,5.724999999999492,3.78295898,3.78143311,3.74938964,0.0036621100000000517,0.00396729000000029,3,2.0,24.05094046331793,LCO
1500mAh3-60S0C,1500,60,99.129,4.329999999999629,3.85375977,3.8577270500000003,3.8082885799999997,0.0036621100000000517,0.0033569300000002578,3,2.0,26.839621161199602,LCO
1500mAh3-80S0C,1500,80,95.795,3.5750000000002027,3.98803711,3.9916992199999997,3.91479492,0.0033569299999998137,0.0033569299999998137,3,2.0,29.27104361067265,LCO
2000mAh1-100S0C,2000,100,83.699,3.364999999999244,4.14611816,4.14337158,4.07897949,0.0042724600000001445,0.0042724600000001445,3,3.0,35.8968505896779,LCO
2000mAh1-20S0C,2000,20,93.149,4.365000000000236,3.74572754,3.79119873,3.73443604,0.005187990000000031,0.004882810000000237,3,2.0,21.66429222421838,LCO
2000mAh1-40S0C,2000,40,86.549,2.905000000000163,3.79089355,3.78326416,3.7332153299999997,0.007019039999999865,0.007019039999999865,3,2.0,24.613984122181726,LCO
2000mAh1-60S0C,2000,60,67.765,2.120000000000118,3.85314941,3.72009277,3.6715698199999998,0.004577639999999938,0.004577639999999938,3,3.0,26.61621417895971,LCO
2000mAh1-80S0C,2000,80,74.759,3.2600000000001903,3.98956299,3.86169434,3.83544922,0.003356940000000197,0.002441409999999866,3,3.0,31.32203693892051,LCO
2000mAh2-100S0C,2000,100,72.513,1.5499999999998793,4.1506958,4.14794922,4.11437988,0.004577640000000827,0.004882810000000681,3,3.0,34.51701569959058,LCO
2000mAh2-20S0C,2000,20,81.492,2.5199999999994516,3.75427246,3.7426757800000003,3.71002197,0.0036621100000000517,0.0039672800000003505,3,2.0,20.316849020697497,LCO
2000mAh2-40S0C,2000,40,87.564,2.60999999999977,3.79547119,3.79150391,3.75213623,0.002746580000000165,0.003051759999999959,3,2.0,24.62319561485714,LCO
2000mAh2-60S0C,2000,60,66.669,1.7250000000000925,3.86810303,3.7866211,3.7548828199999997,0.004577639999999938,0.003967289999999846,3,3.0,26.418476713616627,LCO
2000mAh2-80S0C,2000,80,59.503,1.385000000000084,3.98834229,3.93341065,3.8992309599999997,0.0042724600000001445,0.008544929999999784,3,3.0,29.424633544412778,LCO
500mAh1-100S0C,500,100,77.753,3.2299999999999227,4.13208008,4.19219971,4.13024903,0.002136229999999628,0.0015258799999999795,3,2.0,21.12319460589596,LCO
500mAh1-20S0C,500,20,48.749,2.0600000000001124,3.74572754,3.81225586,3.74572754,0.0015258799999999795,0.002441409999999866,3,2.0,14.132766622030603,LCO
500mAh1-40S0C,500,40,63.111,3.695000000000196,3.78143311,3.84307862,3.77502442,0.0018310600000002175,0.0021362300000000722,3,2.0,17.03988907903632,LCO
500mAh1-60S0C,500,60,92.944,6.100000000000341,3.87298584,3.93463134,3.86779785,0.0033569299999998137,0.010375970000000123,3,2.0,21.111123272127877,LCO
500mAh1-80S0C,500,80,95.381,3.885000000000226,3.99810791,4.05670166,3.9956665,0.0021362300000000722,0.0021362300000000722,3,2.0,21.714523934763996,LCO
500mAh2-100S0C,500,100,84.331,3.7049999999996825,4.14367676,4.16625977,4.12292481,0.002136229999999628,0.0015258799999999795,3,2.0,21.77829536026568,LCO
500mAh2-20S0C,500,20,62.223,3.194999999999969,3.75061035,3.82446289,3.7457275400000003,0.0018310599999997734,0.0012207099999996807,3,2.0,15.882392643275802,LCO
500mAh2-40S0C,500,40,90.343,3.844999999999955,3.78112793,3.82293701,3.76983643,0.0,0.0015258700000000402,3,2.0,19.430083802181677,LCO
500mAh2-60S0C,500,60,83.152,4.405000000000252,3.86688232,3.92211914,3.8659667900000003,0.0012207099999996807,0.0015258799999999795,3,2.0,19.949741652104677,LCO
500mAh2-80S0C,500,80,75.258,3.894999999999944,3.99139404,4.0524292,3.9886474599999997,0.0012206999999997414,0.0015258799999999795,3,2.0,20.116428824194394,LCO
500mAh3-100S0C,500,100,88.944,4.399999999999933,4.14703369,4.190979,4.146118159999999,0.002136229999999628,0.0015258799999999795,3,2.0,22.30500391912581,LCO
500mAh3-20S0C,500,20,79.9,3.38499999999995,3.75091553,3.83331299,3.74176026,0.0036621100000000517,0.003051759999999959,3,2.0,17.540665375435786,LCO
500mAh3-40S0C,500,40,78.071,4.409999999999962,3.78448486,3.81103516,3.76068115,0.0036621100000000517,0.0036621100000000517,3,2.0,18.58043670219064,LCO
500mAh3-60S0C,500,60,83.985,2.4750000000001635,3.86077881,3.8854980400000003,3.83636475,0.0018310500000002783,0.0021362300000000722,3,2.0,19.558452014413454,LCO
500mAh3-80S0C,500,80,82.976,2.774999999999959,3.99108887,4.06982422,3.98834229,0.002441409999999866,0.0021362300000000722,3,2.0,20.49837811054301,LCO
LCO-LP-6400mAh-100SOC-cell1,6400,100,150.2427,451.75410000002574,4.15,4.162999999999999,4.152,0.008000000000000007,0.008000000000000007,3,7.0,100.0,LCO
LCO-LP-6400mAh-100SOC-cell2,6400,100,150.2427,149.93300000000858,4.163,4.178,4.168,0.006999999999999673,0.006000000000000227,3,7.0,100.0,LCO
LCO-LP-6400mAh-80SOC-Cell3,6400,80,150.2427,126.7090000000072,3.996,4.015000000000001,4.001,0.015000000000000124,0.010000000000000231,3,7.0,99.07248714185945,LCO
LCO-LP6400mAh-80SOC-cell4,6400,80,150.2427,135.08297029703093,3.977,3.9899999999999998,3.985,0.005999999999999783,0.0040000000000000036,3,7.0,100.0,LCO
LFP10Ah-60SOC-Cell17,10000,60,53.6833,4.200599999999636,3.298,0.1499999999999999,0.06300000000000017,0.02200000000000024,0.02400000000000002,1,3.0,33.265147865436376,LFP
OE-10AHr-NMC-40SOC-Cell4,10000,40,64.76552,109.5294059405951,3.641,0.8029999999999999,0.1070000000000002,0.01499999999999968,0.01499999999999968,1,3.0,53.10511162678585,NMC
OE-10Ahr-NMC-0SOC-cell1,10000,0,99.75447,99.00134328358187,3.365,3.115,3.092,0.020000000000000018,0.027000000000000135,3,4.0,40.81827750726263,NMC
OE-10Ahr-NMC-0SOC-cell2,10000,0,92.37301,48.74253731343267,3.328,3.273,3.255,0.020999999999999908,0.020999999999999908,3,3.0,28.34616821812864,NMC
OE-10Ahr-NMC-100SOC-cell10,10000,100,150.2427,336.6130693069337,4.177,4.2,4.1819999999999995,0.01499999999999968,0.012000000000000455,3,7.0,100.0,NMC
OE-10Ahr-NMC-100SOC-cell11,10000,100,150.2427,341.90069999999514,4.172,4.193,4.177,0.013999999999999346,0.01499999999999968,3,7.0,100.0,NMC
OE-10Ahr-NMC-40SOC-cell1,10000,40,76.32388,125.66955223880565,3.639,0.802,0.13999999999999968,0.02300000000000013,0.025000000000000355,1,4.0,57.99691770451616,NMC
OE-10Ahr-NMC-70SOC-cell6,10000,70,150.2427,183.59989999999743,3.855,3.877,3.8609999999999998,0.01200000000000001,0.01200000000000001,3,7.0,100.0,NMC
OE-10Ahr-NMC-70SOC-cell7,10000,70,150.2427,172.2359999999976,3.846,3.8760000000000003,3.851,0.02300000000000013,0.02300000000000013,3,7.0,100.0,NMC
OE-10Ahr-NMC-80SOC-Cell9,10000,80,150.2427,110.9099009901001,3.944,3.967,3.948,0.015000000000000124,0.01200000000000001,3,7.0,100.0,NMC
OE-10Ahr-NMC-80SOC-cell8,10000,80,150.2427,130.69731343283544,3.957,3.9779999999999998,3.9629999999999996,0.009999999999999787,0.015000000000000124,3,7.0,100.0,NMC
OE-LCO-6270mAh-40SOC,6270,40,60.47536,55.95323232323822,3.793,1.286,0.07900000000000018,0.016000000000000014,0.016000000000000014,1,4.0,35.227001964405815,LCO
OE-LCO-6340mAh-0SOC,6340,0,105.8417,37.99890000000214,3.483,3.412,3.4,0.010000000000000231,0.01200000000000001,3,1.0,26.749981937979157,LCO
OE-LCO-6400mAh-20SOC,6400,20,78.06942,59.218282828289084,3.747,3.059,3.044,0.02200000000000024,0.016999999999999904,3,3.0,41.85726996624347,LCO
OE-LCO-6470mAh-60SOC,6470,60,150.2427,164.65140000000935,3.866,3.957,3.874,0.0129999999999999,0.0129999999999999,3,6.0,96.32280714185997,LCO
OE-LCO-6490mAh-60SOC,6490,60,53.93946,77.93149253730495,3.865,1.3849999999999998,0.10400000000000009,0.008999999999999897,0.016000000000000014,1,4.0,44.13593396561549,LCO
OE-LCO-6500mAh-20SOC,6500,20,97.44041,58.81970297029752,3.745,3.274,3.261,0.01200000000000001,0.01100000000000012,3,3.0,43.46051102050082,LCO
OE-LCO-6500mAh-40SOC,6500,40,60.3199,104.01450000000592,3.782,1.1230000000000002,0.06400000000000006,0.015000000000000124,0.016000000000000014,1,4.0,46.916914115008545,LCO
OE-LCO-6550mAh-20SOC,6550,20,78.7906,57.9014000000033,3.744,1.2959999999999998,0.2230000000000003,0.0129999999999999,0.01599999999999957,1,3.0,33.593754713922074,LCO
OE-LCO-6560mAh-0SOC,6560,0,133.9798,59.33406015037158,3.439,3.412,3.398,0.01100000000000012,0.014000000000000234,3,3.0,33.550801556853905,LCO
OE-LFP-cell14-60SOC-10Ah,10000,60,56.15605,31.064059405940878,3.295,0.07900000000000018,0.04899999999999993,0.010000000000000231,0.01100000000000012,1,2.0,39.918082545527504,LFP
OE-LFP10Ah-0SOC-cell10,10000,0,42.66866,2.8537000000000945,3.061,0.403,0.375,0.020999999999999908,0.01499999999999968,1,2.0,12.600613285122966,LFP
OE-LFP10Ah-0SOC-cell9,10000,0,51.22772,3.31640000000019,3.015,1.93,1.9160000000000001,0.01100000000000012,0.01200000000000001,3,2.0,13.774687624119258,LFP
OE-LFP10Ah-100SOC-cell1,10000,100,48.47368,3.901599999999129,3.343,0.06599999999999984,0.041999999999999815,0.007000000000000117,0.008000000000000007,1,3.0,45.25352452305323,LFP
OE-LFP10Ah-100SOC-cell12,10000,100,51.25121,2.5564000000001417,3.34,0.10600000000000032,0.03600000000000003,0.016000000000000014,0.016000000000000014,1,3.0,45.26358447496349,LFP
OE-LFP10Ah-100SOC-cell2,10000,100,45.22361,5.191300000000336,3.342,0.13199999999999967,0.04600000000000026,0.009999999999999787,0.010999999999999677,1,2.0,45.15572100336228,LFP
OE-LFP10Ah-20SOC,10000,20,49.39346,6.407014925375194,3.244,0.07600000000000007,0.06300000000000017,0.005999999999999783,0.005999999999999783,1,2.0,20.625889495944342,LFP
OE-LFP10Ah-40SOC-cell7,10000,40,57.59005,5.409999999999507,3.295,0.11599999999999966,0.052999999999999936,0.017999999999999794,0.008000000000000007,1,2.0,27.646043491639197,LFP
OE-LFP10Ah-40SOC-cell8,10000,40,97.76741,6.154799999999929,3.295,0.15700000000000003,0.07899999999999974,0.02100000000000035,0.02100000000000035,1,3.0,31.292703359293313,LFP
OE-LFP10Ah-60SOC,10000,60,81.80716,6.3370000000003355,3.296,0.17700000000000005,0.055999999999999606,0.019000000000000128,0.020000000000000018,1,2.0,36.44921378119531,LFP
OE-LFP10Ah-70SOC-cell5,10000,70,54.06875,7.46300000000044,3.302,0.19499999999999984,0.03600000000000003,0.017999999999999794,0.020999999999999908,1,2.0,37.24977997882174,LFP
OE-LFP10Ah-70SOC-cell6,10000,70,41.33279,1.9697999999999714,3.302,0.07500000000000018,0.03600000000000003,0.020000000000000018,0.017000000000000348,1,2.0,34.37711087125182,LFP
OE-LFP10Ah-80SOC-Cell15,10000,80,53.65614,7.205499999999379,3.331,0.16000000000000014,0.06000000000000005,0.02499999999999991,0.019000000000000128,1,2.0,40.309096035025064,LFP
OE-LFP10Ah-80SOC-cell13,10000,80,68.19399,7.093823529410547,3.327,0.08800000000000008,0.06000000000000005,0.01100000000000012,0.010000000000000231,1,3.0,41.77116513302433,LFP
OE-LFP10Ah-80SOC-cell3,10000,80,53.53308,3.683999999999662,3.331,0.1160000000000001,0.06000000000000005,0.015000000000000124,0.013000000000000345,1,3.0,39.45891085550212,LFP
OE-LFP10Ah-80SOC-cell4,10000,80,48.9299,2.5750000000001494,3.334,0.10000000000000009,0.06400000000000006,0.017000000000000348,0.017000000000000348,1,3.0,38.66020827387002,LFP
OE-NMC10Ah-20SOC,10000,20,47.17092,28.323939393942418,3.554,0.9419999999999997,0.12799999999999967,0.008999999999999897,0.009999999999999787,1,3.0,25.561029525117277,NMC
OE-NMC10Ah-20SOC-cell2,10000,20,59.76266,42.64166666666507,3.532,1.4170000000000003,0.1259999999999999,0.008999999999999897,0.008999999999999897,1,3.0,30.383359393767094,NMC
OE-NMC10Ah-45SOC,10000,45,46.27587,52.11670000000298,3.658,0.7250000000000001,0.07200000000000006,0.007000000000000117,0.007000000000000117,1,4.0,39.01699154195837,NMC
OE-NMC10Ah-45SOC-cell2,10000,45,60.32886,56.02393939394527,3.658,0.8130000000000002,0.1419999999999999,0.008999999999999897,0.010000000000000231,1,4.0,41.53674404307288,NMC
OE-NMC10Ah-50SOC,10000,50,150.2427,127.90699999997092,3.682,3.7070000000000003,3.6879999999999997,0.016000000000000014,0.018000000000000238,3,7.0,98.21701214185084,NMC
OE-NMC10Ah-60SOC,10000,60,150.2427,131.70529850744833,3.753,3.7720000000000002,3.757,0.01200000000000001,0.01200000000000001,3,7.0,100.0,NMC
Soetria-80SOC-cell3,4960,80,150.2427,163.96434343436076,4.005,4.0249999999999995,4.01,0.004999999999999893,0.005999999999999339,3,7.0,96.97663120751842,NMC
Soetria-Control-45SOC-cell1,5190,45,150.2427,77.14537878787584,3.696,3.217,3.2110000000000003,0.0040000000000000036,0.009999999999999787,3,6.0,60.84837710397826,NMC
Sorteria-100SOC-cell1,4960,100,27.13484,1.5794949494951063,4.175,0.03399999999999981,0.020999999999999908,0.006000000000000227,0.004999999999999893,1,1.0,5.0,NMC
Sorteria-100SOC-cell2,4960,100,26.43853,1.3452238805968464,4.173,0.027000000000000135,0.01100000000000012,0.006000000000000227,0.0039999999999995595,1,1.0,5.0,NMC
Sorteria-Control-100SOC-cell1,5190,100,150.2427,164.80746268654954,4.166,4.234,4.171,0.005000000000000782,0.005000000000000782,3,7.0,100.0,NMC
Sorteria-Control-100SOC-cell2,5190,100,150.2427,172.83291044776075,4.163,4.181,4.168,0.006999999999999673,0.006999999999999673,3,7.0,100.0,NMC
Sorteria-Control-60SOC-cell1,5190,60,150.2427,136.6649000000078,3.842,3.867,3.852,0.006999999999999673,0.005999999999999783,3,7.0,82.38001339185959,NMC
Sorteria-control-20SOC-cell1,5190,20,144.912,43.67248120300432,3.554,3.312,3.3049999999999997,0.007000000000000117,0.007000000000000117,3,5.0,40.29205283054349,NMC
Sorteria-control-40SOC-cell2,5190,40,150.2427,80.40466165414662,3.692,3.612,3.603,0.008000000000000007,0.0050000000000003375,3,6.0,59.157206784717566,NMC
Soteria-Control-0SOC-cell1,5190,0,123.0342,33.16350746268296,3.406,2.9259999999999997,2.919,0.006999999999999673,0.008000000000000007,3,3.0,26.696694755700825,NMC
Soteria-Control-5010mAh-20SOC,5010,20,150.2427,86.82494949493372,3.564,2.425,2.419,0.006999999999999673,0.005999999999999783,3,4.0,50.47902514690449,NMC
Soteria-Control-5030mAh-10SOC,5030,10,136.5742,33.2956000000019,3.493,2.237,2.23,0.004999999999999893,0.009999999999999787,3,3.0,32.29076012623216,NMC
Soteria-Control-50SOC,4620,50,105.6331,13.535294117650329,3.789,0.45399999999999974,0.3240000000000003,0.005999999999999783,0.005999999999999783,1,4.0,28.24079383437377,NMC
Soteria-Control-5100mAh-55SOC,5100,55,150.2427,62.70676691730205,3.794,3.818,3.812,0.007000000000000117,0.0030000000000001137,3,6.0,61.879456784716986,NMC
Soteria-Control-5120mAh-50SOC,5120,50,150.2427,50.504500000002885,3.746,2.6999999999999997,2.694,0.006999999999999673,0.0039999999999995595,3,4.0,56.65391839185842,NMC
Soteria-SCC-20SOC-5180mAh,5180,20,25.19937,1.0309000000003683,3.554,0.01499999999999968,0.008000000000000007,0.0040000000000000036,0.0040000000000000036,1,1.0,5.0,NMC
Soteria-SCC-4160mAh-100SOC-8mm,4160,100,27.97715,0.9739393939392369,4.166,0.0420000000000007,0.029000000000000803,0.004999999999999893,0.0030000000000001137,1,1.0,5.0,NMC
Soteria-SCC-4630mAh-10SOC,4630,10,25.53189,1.112323232323334,3.526,0.025000000000000355,0.016000000000000014,0.0050000000000003375,0.0050000000000003375,1,1.0,5.0,NMC
Soteria-SCC-4700mAh-100SOC-12mm,4700,100,26.8276,1.264444444445307,4.172,0.03599999999999959,0.027000000000000135,0.004999999999999893,0.006000000000000227,1,1.0,5.0,NMC
Soteria-SCC-4720mAh-40SOC,4720,40,27.37152,1.3745454545455973,3.685,0.02300000000000013,0.01100000000000012,0.007000000000000117,0.008000000000000007,1,1.0,5.0,NMC
Soteria-SCC-4870mah-0SOC,4870,0,25.03469,1.0323762376237682,3.393,0.028999999999999915,0.019999999999999574,0.0050000000000003375,0.006000000000000227,1,1.0,5.0,NMC
Soteria-SCC-5050mAhr-100SOC,5050,100,28.98419,1.4511999999996914,4.177,0.0420000000000007,0.032999999999999474,0.006000000000000227,0.007000000000000561,1,1.0,5.0,NMC
Soteria-SCC-5070-70SOC,5070,70,26.74982,1.3773529411768,3.93,0.027000000000000135,0.017000000000000348,0.007000000000000117,0.0040000000000000036,1,1.0,5.0,NMC
Soteria-SCC-5080mAh-20SOC,5080,20,27.01856,1.0947524752475615,3.548,0.02400000000000002,0.015000000000000124,0.0040000000000000036,0.0040000000000000036,1,1.0,5.0,NMC
Soteria-SCC-5170mAh-60SOC,5170,60,25.74966,1.2761194029849314,3.837,0.02400000000000002,0.013000000000000345,0.0040000000000000036,0.004999999999999893,1,1.0,5.0,NMC
Soteria-SCC-60SOC-cell1,5180,60,28.32604,1.654696969696921,3.861,0.03000000000000025,0.020000000000000018,0.0030000000000001137,0.004999999999999893,1,1.0,5.0,NMC
Soteria-SCC-80SOC-cell1,5180,80,29.96731,1.0479797979793228,4.026,0.04300000000000015,0.03599999999999959,0.004999999999999893,0.006000000000000227,1,1.0,5.0,NMC
Soteria-SCC-90SOC-cell1,5180,90,30.77271,1.2596240601504125,4.084,0.022999999999999687,0.01499999999999968,0.0030000000000001137,0.0019999999999997797,1,1.0,5.0,NMC
Soteria-control-10SOC-cell1,5190,10,134.9143,179.66010000001026,3.452,3.186,3.184,0.0040000000000000036,0.006000000000000227,3,4.0,67.11142009605561,NMC
Soteria-control-30SOC-cell1,5190,30,146.1885,119.38860000000041,3.646,3.246,3.243,0.001000000000000334,0.07900000000000018,3,5.0,63.27293816388151,NMC
Soteria-control-30SOC-cell2,5190,30,133.9674,94.82238805969122,3.612,2.978,2.967,0.008000000000000007,0.009000000000000341,3,5.0,56.770078513419215,NMC
Soteria-control-5100mAh-50SOC,5100,50,150.2427,104.4817821782188,3.751,3.766,3.756,0.007000000000000117,0.009999999999999787,3,6.0,69.37852290918471,NMC
